indicator name,Action, measured value, date measured, comments
Aquisição de botes novos  ,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,2 botes ,07/06/15,no comment
Aquisição de botes grandes,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,7 metros,07/12/15,no comment
Construção e equimapento de  industrias,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta,20 indústrias,07/12/15,no comment
Aquisição de embarcações de maiores dimensões ,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta, 2 embarcações,07/12/15,no comment
Aquisição de arcas frigoríficas ,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta, 20 arcas,07/12/15,no comment
Rearranjo e equipamento de botes danificados,Reabilitação e Modernização do Sector das Pescas e Introdução de Energias Renováveis na localidade de Achada Ponta, 5 botes,07/12/15,no comment
Selecionar beneficiários para a eletrificação das habitações recorrendo a painéis fotovoltaicos,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária , 20 beneficiários,01/06/15,no comment
Selecionar beneficiários para a construção de currais ,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária ,10 beneficiários,01/06/15,no comment
construção de currais,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária , 10 currais,01/06/15,no comment
Eletrificação da bomba de abastecimento de água recorrendo à utilização de painéis fotovoltaicos,Electrificação através de painéis fotovoltaicos das habitações da localidade de Alto Matinho e do sistema de bombagem  de água que abastece a comunidade e construção de currais para a prática pecuária ,,01/06/15,no comment